dates,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2018-11-16,95.86250089999992,819.2052410899998,910.7627046799997,465.56116238000004,1.9897420700000001,0.0,5548.2338
2018-11-17,59.82743899999998,617.2129476100002,325.3691461200001,924.5807894399999,9.594041430000003,4.6620000000000004e-05,5536.0713
2018-11-18,62.52293033,627.3695033699998,338.20360263999993,1465.3964607500006,5.66411427,0.00022178999999999998,5582.7
2018-11-19,86.14732064,1280.5566735699997,1446.6481641100006,1247.24753099,70.54934885,0.0002153,4785.1538
2018-11-20,119.33955701999994,1977.1271880900013,2160.2104407,1530.4234046800002,195.51181919,6.66e-06,4413.8025
2018-11-21,95.83494228000015,1163.7894296300005,1417.8273854499996,2706.13536069,167.29154400000002,0.0,4574.3588
2018-11-22,76.15647464000014,1272.6009298199997,1143.2109053,337.37394881000006,8.35014579,0.0,4289.6888
2018-11-23,75.76406589999998,1073.4385043700001,884.9077580100002,149.2596457,2850.58585871,0.0001462,4319.9938
2018-11-24,63.82603370000003,963.1638442699998,1088.3909791600001,2202.63673284,1.6853403600000003,0.0,3815.9213
2018-11-25,87.97696355,1373.48787145,1456.47461742,2509.61298403,2572.1516447299996,0.0,3976.5713
2018-11-26,93.51869105999997,1207.4306621000005,2339.87283455,794.0566455100001,186.2651423,0.0,3761.4213
2018-11-27,90.81239262000003,1170.3030729100003,1232.1321385200001,2414.1993034099996,34974.813139109996,0.0,3800.1963
2018-11-28,88.19344204000001,1215.237246629999,1509.5592202199998,1018.39206545,2864.8934610799993,0.0,4241.575
2018-11-29,90.61282696000005,1120.8381591400007,1202.1871421199996,1351.32425045,3.67833909,8.951e-05,4263.875
2018-11-30,76.99430671999997,992.60520296,1037.5877360600002,1187.7793687999997,49.71716053,93069.07249415999,3992.155
2018-12-01,73.02395909,830.7636151199999,1039.6759460399999,274.84142768,5.20624425,57442.76205399,4165.6063
2018-12-02,63.49118047999999,728.4478993699998,732.04451607,379.88217504000005,11.644508019999998,254.40718771000002,4116.6138
2018-12-03,73.11147434999997,908.4911007000003,673.6453796400002,5042.7293876799995,35612.17827176,57233.75826414,3855.6833
2018-12-04,80.61772599999996,994.4753920799999,1050.5224111000002,1080.4929270700004,289934.66079558,0.00011601000000000001,3929.6283
2018-12-05,72.5756517,964.3866591399999,717.4187081800001,1647.2959459400004,168870.87878139,0.0010911,3722.3917
2018-12-06,79.32358941,1041.5813175499995,1090.0738803899997,1005.20725422,120112.86355034003,0.0030526800000000003,3466.15
2018-12-07,96.129534,1536.8865083600003,1760.767994280001,1578.0760942599998,3100.4450550499996,0.00309665,3404.4567
2018-12-08,64.95128197999996,1035.0606898699998,704.1391668300001,703.77557633,1.8894460499999999,0.00015643999999999999,3433.3633
2018-12-09,68.47686955999995,941.5440642499999,749.58205777,33.87850461,368.61049189000016,0.00026093,3566.3417
2018-12-10,82.32905396,865.3294223599994,1507.1077002700001,1148.5410994999997,3502.65264601,5.2890000000000004e-05,3447.345
2018-12-11,72.42738351000003,1140.45298357,1029.5308293900002,1790.4917065400005,1001.85627099,0.00017998,3378.115
2018-12-12,67.71027138000002,1203.76908619,805.4798351200001,1699.3851486599997,151.80961689,0.00039000000000000005,3465.3367
2018-12-13,75.35866923000002,1378.5504852400002,1440.81742828,871.7745127100001,1200.46309137,0.0,3292.0883
2018-12-14,79.05853888000009,1444.0198822100006,1264.9831323699998,1185.0991086400002,1126.16386905,0.0,3223.7633
2018-12-15,70.05617464,1315.8541783300002,1008.9248246400001,887.2599129400002,4.309031600000002,1e-05,3214.385
2018-12-16,66.39124155999998,1167.27266912,994.0765592,1080.5227230799999,67.53228540000002,0.0,3229.1683
2018-12-17,92.73608481000002,1416.0062092400008,923.9236589100004,1306.5778735299996,5.55163408,1.088e-05,3540.1967
2018-12-18,96.98001912999999,1163.5319588800003,819.3569435700001,1040.1690453699998,9555.275244000002,1e-05,3703.805
2018-12-19,108.06155832000002,1626.966989250001,1323.2801743700006,207.62304007,1189.7810637099994,0.00012675,3724.9933
2018-12-20,101.97546091999995,1369.1256974799999,1269.10809173,1958.3811409300001,995.54486542,0.0,4107.6867
2018-12-21,100.17322416000002,1353.4482606200002,1172.9558866400002,1662.32911588,1421.3186747600002,0.00036957,3886.305
2018-12-22,65.47969079000005,946.8036993900004,1541.9253913999992,1172.95606766,97.20373011999999,0.0,4031.895
2018-12-23,65.42377565999996,1088.0273406100005,1308.3830362600006,282.9149605899999,3.529980929999999,8.888e-05,3987.8817
2018-12-24,91.61854251,932.9271434499999,1346.8085805500004,529.79469642,20.663165519999996,4.444e-05,4069.8067
2018-12-25,70.97193146000004,927.0602266200007,915.7597356999997,748.20904064,1055.5575295600004,0.0001822,3823.0583
2018-12-26,74.88121406999998,766.2528936000001,660.3700724700002,207.48593320000003,7.17848427,5.444e-05,3809.19
2018-12-27,88.59910955000001,1073.0782168499993,779.3451030699999,746.88086122,8.16611436,0.00032362000000000005,3632.68
2018-12-28,91.07539677000001,1169.3116748099999,1025.21744971,1118.4754841200001,611.9477883400002,512.24225898,3937.05
2018-12-29,76.90153558,978.22982237,968.81424231,2076.7114340300004,18.76179729,0.0,3779.7133
2018-12-30,72.40019408000006,1185.6681003400001,1279.4095683,921.4394833,20.971253970000003,0.00019111,3880.9067
2018-12-31,76.51323554,1201.2928270799996,1263.1147961400009,868.4204815400002,158.02110767,0.00025224000000000004,3740.5
2019-01-01,64.01012972000002,979.2954588099996,1092.6632417500002,874.56035082,21.703088610000005,0.0,3869.47
2019-01-02,109.37972429000004,1641.98690317,1078.41011845,806.59767131,39.79633977999999,0.0,3941.2167
2019-01-03,101.44283361999996,1277.54072189,1244.8603825000002,1360.6656832099998,482.82810012,163.4517,3832.155
2019-01-04,87.12168864000002,1009.4099466200003,1257.41965708,1031.31516039,119.17712175000003,1013.16926762,3863.6267
2019-01-05,69.39201898,738.7283849600001,774.8682865999998,441.33480317,129.8636687700001,0.00022831999999999998,3835.5983
2019-01-06,76.91272939999998,903.6566883300004,954.8047875400005,478.62069192999996,48.09324069000002,0.0,4083.165
2019-01-07,104.93038529000002,859.8040842100002,891.1020485000003,1003.7440577799999,25.740391519999996,762.4491794,4041.4583
