,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-08-31 13:00:00,10.0,1.0,7.0,13.0,11714.31
2020-08-31 14:00:00,7.0,0.0,2.0,7.0,11742.77
2020-08-31 15:00:00,10.0,1.0,0.0,10.0,11750.0
2020-08-31 16:00:00,6.0,2.0,2.0,8.0,11721.13
2020-08-31 17:00:00,3.0,0.0,4.0,11.0,11712.71
2020-08-31 18:00:00,0.0,0.0,0.0,4.0,11723.63
2020-08-31 19:00:00,3.0,1.0,0.0,7.0,11730.64
2020-08-31 20:00:00,0.0,0.0,1.0,7.0,11675.75
2020-08-31 21:00:00,2.0,1.0,2.0,5.0,11636.08
2020-08-31 22:00:00,1.0,1.0,0.0,9.0,11656.05
2020-08-31 23:00:00,2.0,0.0,0.0,8.0,11655.0
2020-09-01 00:00:00,0.0,0.0,0.0,7.0,11612.55
2020-09-01 01:00:00,1.0,0.0,1.0,4.0,11628.0
2020-09-01 02:00:00,5.0,0.0,1.0,9.0,11636.38
2020-09-01 03:00:00,2.0,0.0,0.0,12.0,11697.28
2020-09-01 04:00:00,3.0,0.0,0.0,5.0,11699.48
2020-09-01 05:00:00,4.0,0.0,0.0,9.0,11797.98
2020-09-01 06:00:00,2.0,2.0,0.0,3.0,11868.11
2020-09-01 07:00:00,3.0,0.0,3.0,3.0,11927.84
2020-09-01 08:00:00,3.0,1.0,0.0,6.0,11920.79
2020-09-01 09:00:00,4.0,1.0,0.0,5.0,11950.01
2020-09-01 10:00:00,6.0,1.0,0.0,8.0,11932.44
2020-09-01 11:00:00,1.0,0.0,6.0,6.0,11881.68
2020-09-01 12:00:00,2.0,1.0,2.0,4.0,11911.68
2020-09-01 13:00:00,1.0,0.0,1.0,2.0,11873.69
2020-09-01 14:00:00,3.0,0.0,0.0,4.0,11910.0
2020-09-01 15:00:00,2.0,3.0,1.0,6.0,12054.7
2020-09-01 16:00:00,4.0,2.0,3.0,7.0,12015.01
2020-09-01 17:00:00,4.0,1.0,5.0,9.0,11972.99
2020-09-01 18:00:00,0.0,2.0,4.0,7.0,12003.7
2020-09-01 19:00:00,4.0,0.0,2.0,8.0,11972.69
2020-09-01 20:00:00,4.0,0.0,1.0,5.0,12021.01
2020-09-01 21:00:00,1.0,0.0,2.0,3.0,12025.72
2020-09-01 22:00:00,1.0,1.0,2.0,7.0,11978.61
2020-09-01 23:00:00,2.0,1.0,1.0,7.0,11924.22
2020-09-02 00:00:00,1.0,0.0,2.0,5.0,11899.32
2020-09-02 01:00:00,7.0,0.0,1.0,6.0,11891.12
2020-09-02 02:00:00,4.0,0.0,3.0,2.0,11862.02
2020-09-02 03:00:00,3.0,1.0,1.0,8.0,11837.01
2020-09-02 04:00:00,0.0,0.0,0.0,5.0,11872.62
