date,RPLprofits,RPLlosses,price
2014-03-30,5029560.3933698700,5223130.506581180,461.8695
2014-03-31,4850742.713646950,5754812.947966840,458.4972
2014-04-01,4323987.446101130,5721264.909421710,478.7163
2014-04-02,4062260.329601420,5993136.591909950,437.515
2014-04-03,4293386.751083250,6186720.916323090,447.0822
2014-04-04,4201102.726501910,6340444.167658680,448.8792
2014-04-05,4222227.560956230,7107956.494717470,464.8259
2014-04-06,4250839.580402300,7124552.508731670,460.7028
2014-04-07,3977609.7427075800,7105123.884065420,446.2195
2014-04-08,3696567.8638250900,6968673.357209920,450.4638
2014-04-09,3878668.080764700,6935847.549561350,440.1983
2014-04-10,3116722.025796180,7995835.83220432,360.8407
2014-04-11,3225419.331934220,8601345.983751940,420.0563
2014-04-12,3191402.523298450,8570450.241545400,420.66
2014-04-13,3000983.5385221900,8530387.130348370,414.9495
2014-04-14,2977614.9495762200,8570571.127162960,457.6338
2014-04-15,3249175.089512260,8648850.49905888,520.1233
2014-04-16,4051327.371319640,7958210.034301950,529.1625
2014-04-17,4195576.183413130,7691975.77915488,494.4
2014-04-18,4192807.3642233500,7807555.648469650,478.2312
2014-04-19,4187921.7207987600,7357499.867910210,501.5515
2014-04-20,4150254.6693094200,6949986.948381940,497.3177
2014-04-21,4108302.8784863300,6793583.415393300,493.0921
2014-04-22,4159140.261947020,6581008.909671780,484.429
2014-04-23,4258513.009570100,6256288.2767370000,486.9317
2014-04-24,4388926.470684760,6116067.058650440,500.2568
2014-04-25,4325979.061681380,5594855.450149330,459.6104
2014-04-26,4197103.636516950,5513127.630071630,456.1395
2014-04-27,4214259.508857430,5501197.050770150,429.6537
2014-04-28,4259635.6423453700,5617102.620321890,437.0587
2014-04-29,3958984.495416520,5396455.971702340,444.2533
2014-04-30,3854745.238308710,4169795.54731704,445.8655
2014-05-01,3695840.337236910,3522192.399634060,456.2673
2014-05-02,3743869.554338770,3534378.049221880,446.6438
2014-05-03,3702303.7217422100,3532872.2916225300,436.9381
2014-05-04,3482914.5950243100,3463925.1586330500,434.0643
2014-05-05,3113504.05231483,3467899.3425128200,429.7242
2014-05-06,2094041.7231140200,3563344.8275708600,426.992
2014-05-07,1811663.3359214600,3459512.9054256200,436.9605
2014-05-08,1797249.7667920700,3254400.199661650,435.343
2014-05-09,1765633.8888436500,3263871.610927340,448.235
2014-05-10,1758702.1489912600,3115532.732861130,452.7108
2014-05-11,1707925.213091020,3095659.2420637900,436.542
2014-05-12,1627512.853352100,2929143.7208008800,438.4278
2014-05-13,1228520.6946553500,2953138.640732580,437.413
2014-05-14,1285838.7421742300,3221540.461984580,441.7498
2014-05-15,1305246.7902000900,3016087.290858510,444.3162
2014-05-16,1285809.290282030,3056657.4275224900,445.0133
2014-05-17,1257738.8769760700,2928741.1520244600,446.3583
2014-05-18,1236308.5808512700,2662855.4118686900,444.809
2014-05-19,1169601.2512457900,2561930.5613370000,444.3128
2014-05-20,1434930.2156904300,2557741.6496926800,485.8305
2014-05-21,1519721.5787162800,2521226.7390532200,489.1625
2014-05-22,1817154.954835510,2448489.108011690,526.0577
2014-05-23,2010500.0920112700,2452549.91611443,519.0392
2014-05-24,2535512.938312380,2807667.429898020,525.6332
2014-05-25,3242875.366615830,2655391.387031560,570.095
2014-05-26,3544965.6029363800,2568599.3268802800,581.8267
2014-05-27,5261864.916258160,2466972.849217230,569.6332
2014-05-28,5439338.509404210,2401897.8628109100,574.4547
2014-05-29,5509180.052159630,2422773.967606260,565.5058
2014-05-30,6846314.350200080,2383674.266940980,616.47
2014-05-31,7209710.790615770,2340460.8190856000,623.2567
2014-06-01,7512131.0382280800,2278975.0020963400,629.0242
2014-06-02,8350429.608322450,2282175.501648430,658.786
2014-06-03,8644252.748490280,2008801.0885325100,665.73
2014-06-04,8847519.329913620,2018922.4015745700,636.7837
2014-06-05,9210826.101560110,1918315.7393978900,656.0598
2014-06-06,9397413.003137590,2033390.1967755500,645.5647
2014-06-07,9494770.289383950,1992367.2657820500,652.7083
2014-06-08,9668598.9906481,1888019.4504669700,653.6402
2014-06-09,9779662.073137760,1848490.7982516300,645.341
2014-06-10,10029594.337668100,1828999.7294658600,649.8068
2014-06-11,9911002.383747860,1902956.3287750500,627.9098
2014-06-12,13498621.544455200,2734925.581081060,581.8033
2014-06-13,13327044.978475700,2394335.9700117500,597.4267
2014-06-14,12620209.284821200,2494353.820225570,571.6902
2014-06-15,12380822.564565400,2404213.085088630,591.9718
2014-06-16,10768515.141879200,2437649.8216445000,588.06
2014-06-17,10673550.070404000,2465517.8497096200,607.3427
2014-06-18,10663097.962117700,2436920.9666713700,604.8752
2014-06-19,9359310.642098860,2542735.440834600,592.2648
2014-06-20,9050496.036818790,2559443.8882144000,588.5215
2014-06-21,8796764.114079300,2561784.4616350400,591.0298
2014-06-22,8037815.485343420,2464711.689039540,598.8765
2014-06-23,7773155.205818600,2555460.126674900,587.4598
2014-06-24,7735043.821784660,2584615.5693078400,575.0667
2014-06-25,7409107.097036130,2686588.4453723500,562.1263
2014-06-26,7490481.929317430,2587226.581366960,579.3842
2014-06-27,7532957.866792660,2596277.868944090,600.8645
2014-06-28,7380602.781310240,2623124.849681770,591.994
2014-06-29,7381819.391115330,2575080.701581970,598.6032
2014-06-30,7471058.880935790,2562916.6491915700,639.3623
2014-07-01,7560660.878162960,2500386.4469647600,635.5905
2014-07-02,4434412.022760460,1595692.9529272500,647.34
2014-07-03,4436542.467146910,1527875.7259294500,640.6879
2014-07-04,4515782.014650670,1415858.2734812600,626.9575
2014-07-05,4533819.883856360,1400140.8829588500,628.3313
