,Profits(1h),Losses(1h),Profits(>200D),Losses(>200D),Profits(<200D),Losses(<200D),prices
2016-06-13,17453280.08967750,413846.9688843510,3316783.239652410,167147.28913868100,14136496.850025100,246699.6797456670,705.619
2016-06-14,18050334.690064000,704552.6238985670,3297407.9712962200,157155.98768974600,14752926.71876770,547396.6362088180,685.989
2016-06-15,19407698.796962000,724468.0676059630,3749884.735165610,148618.6705232480,15657814.061796400,575849.3970827120,696.323
2016-06-16,24090634.70615010,721414.6283980030,3792986.600288810,145565.23131528800,20297648.105861200,575849.3970827120,768.242
2016-06-17,24943720.44033250,1095851.3446068100,3940117.934160180,141408.31027353900,21003602.50617230,954443.034333268,747.554
2016-06-18,25630862.989250200,1121408.8754346300,4129500.8985159800,145293.82264589900,21501362.090734200,976115.0527887320,755.684
2016-06-19,26000352.03221940,1124616.7666891900,4215596.639982150,145978.12713663200,21784755.39223730,978638.63955255,764.045
2016-06-20,25959995.964927300,1716411.20551636,4388036.83994274,155042.47608856700,21571959.12498450,1561368.72942779,727.949
2016-06-21,26759702.562991400,2973230.7044242900,4537551.595094660,150396.3819219700,22222150.96789680,2822834.3225023100,665.876
2016-06-22,26585467.942321700,5463454.537939910,4541249.964278060,148819.2309863260,22044217.978043600,5314635.306953580,602.887
2016-06-23,26981930.8886193,5963641.151770950,4562991.644849270,143732.6119796950,22418939.24377,5819908.539791250,625.495
2016-06-24,27670393.404776200,6280908.7624110400,4511726.742239890,140323.5853854780,23158666.662536300,6140585.177025560,665.162
2016-06-25,27506447.673426000,6366859.430121760,4407929.402497040,138025.0557701980,23098518.27092890,6228834.374351560,665.329
2016-06-26,24644408.358242100,7051475.204494000,3588746.8079080900,129292.08895958400,21055661.55033400,6922183.115534420,630.246
2016-06-27,21060939.233255300,7219154.291872980,3382643.2635725700,119812.55513067600,17678295.969682700,7099341.736742300,658.399
2016-06-28,19990789.036198500,7237252.784103740,3273663.1412374800,113183.38848144100,16717125.894961000,7124069.395622300,646.304
2016-06-29,18140675.721859000,7570938.150415170,2787428.885480060,92923.49568623810,15353246.836378900,7478014.654728930,639.082
2016-06-30,13861994.785670700,7757445.938175410,2823318.309195110,86045.55072286730,11038676.47647550,7671400.387452540,672.485
2016-07-01,12593735.419214500,7468673.505091160,2665639.6110254600,81546.04527881740,9928095.808188990,7387127.459812340,676.523
2016-07-02,12098531.854017200,7460480.155341070,2526362.4473386200,75523.21525683320,9572169.406678530,7384956.940084240,703.686
2016-07-03,11386002.633780000,7804683.982700990,2389000.7193807200,71297.95779786460,8997001.914399210,7733386.02490312,659.688
2016-07-04,10956642.073826800,7272618.30403574,2077880.5130606500,48255.19065441570,8878761.560766080,7224363.113381320,681.63
2016-07-05,10229802.768077100,6103480.827258100,2111309.9945621200,38609.423436922300,8118492.773514910,6064871.403821180,668.092
2016-07-06,10154028.466739300,3658001.927889380,2130965.675075360,35741.85006001830,8023062.791663940,3622260.0778293600,676.113
2016-07-07,9543716.79460736,3781067.002487430,2115628.7580963800,36581.89926318010,7428088.036510940,3744485.1032242500,639.761
2016-07-08,9038798.158494630,3634220.650175970,2113080.2997848000,45752.29387860750,6925717.8587097800,3588468.356297350,664.743
2016-07-09,8862427.756539060,3778882.9782228900,2366218.6917684500,50965.56431821580,6496209.064770560,3727917.4139046700,650.627
2016-07-10,9125762.226494050,3189794.1091894500,2643762.5779814500,50873.912100114400,6481999.648512550,3138920.1970893300,649.962
2016-07-11,8740828.000525380,3202027.920603610,2929095.0612799200,52690.22303247980,5811732.939245410,3149337.6975711200,649.027
2016-07-12,8865429.135424350,2924003.4638729100,2918510.8855634400,50233.11724188400,5946918.249860860,2873770.346631020,664.839
2016-07-13,8884613.455628100,2765097.1882432100,2910141.024022420,46689.640920756900,5974472.431605630,2718407.5473224500,653.934
2016-07-14,7686043.712510040,2623187.0230157600,2391952.6079800800,47683.43249376810,5294091.104529900,2575503.590521980,659.636
2016-07-15,7314801.94373103,2576473.5416390500,2368249.2675251400,45704.1286229419,4946552.676205850,2530769.413016100,664.876
2016-07-16,6702572.164110100,2580614.8986758600,2304196.822905970,42999.00161370180,4398375.341204070,2537615.897062150,663.541
2016-07-17,7240817.8188464700,2240794.3120713700,2353326.188364050,42885.75931075050,4887491.630482380,2197908.55276061,679.051
2016-07-18,6943439.903338790,2299639.871599360,2317209.212430660,40222.550477718500,4626230.690908090,2259417.321121640,673.594
2016-07-19,6943296.199779520,2115705.8920829800,2124408.665603360,41667.29683929920,4818887.534176120,2074038.5952436800,673.843
2016-07-20,6693231.620702280,2260215.642892150,2002773.9641980100,42299.73717465540,4690457.6565042200,2217915.9057174900,666.18
2016-07-21,6555283.551251640,1575138.8761684000,1946523.2407512700,41295.3273986918,4608760.310500310,1533843.5487697000,665.099
2016-07-22,5969289.505693550,1676377.270881500,1878395.1279399400,38999.22521532280,4090894.377753550,1637378.0456661700,650.822
2016-07-23,5470247.101124120,1543766.174882860,1570291.7813094000,42933.84947173680,3899955.319814680,1500832.3254111200,654.862
2016-07-24,5781407.183290870,1488127.9079691900,1547649.3454226700,45755.320790349900,4233757.837868150,1442372.5871788300,661.05
2016-07-25,5571272.18471796,1426292.7412685000,1247298.0793955500,50039.7313125832,4323974.105322360,1376253.0099559100,655.135
2016-07-26,5332681.845935480,1505758.4206176500,1335157.5079551100,52155.209790895100,3997524.3379803200,1453603.2108267500,651.077
2016-07-27,5472652.346588750,1338774.4225910000,1421632.181602270,56384.363916205300,4051020.1649864400,1282390.0586747900,655.442
2016-07-28,5424882.700322940,1368576.637234320,1451037.8130139900,55732.62117156520,3973844.887308900,1312844.0160627500,655.627
2016-07-29,5398426.522903020,1349823.095672750,1556467.9940965900,55626.580991765200,3841958.5288063800,1294196.5146809800,656.669
2016-07-30,5435760.105232480,1358685.9875372700,1731555.6100301700,56614.72830722850,3704204.4952022600,1302071.2592300400,654.976
2016-07-31,4785420.016800490,1894949.0612916300,1695634.4917996200,56670.23173874240,3089785.525000820,1838278.8295528800,625.881
2016-08-01,4568398.865312070,2439912.3726064900,1731112.349610500,65933.81949488740,2837286.515701530,2373978.5531116000,607.374
2016-08-02,4288900.355176800,4806434.605159470,1803196.009723420,72188.84634209610,2485704.345453330,4734245.75881737,552.821
2016-08-03,4430096.261715280,5214471.606868080,1834268.602355330,79246.7906775953,2595827.6593599100,5135224.816190480,565.2638
2016-08-04,5286838.460306610,5663515.612078550,2521949.4292976400,79656.55771294590,2764889.0310089200,5583859.054365600,578.3213
2016-08-05,5263597.661806140,5606903.226823320,2511593.6352707800,72701.09182624650,2752004.0265353100,5534202.134997070,574.9563
2016-08-06,5364412.664455460,5688159.665079720,2526169.9604939200,65011.87977472480,2838242.7039614900,5623147.785304990,588.4225
2016-08-07,5037538.457422100,6017196.80338866,2253590.5418942600,61675.358862216200,2783947.9155277900,5955521.444526440,592.78
2016-08-08,4856491.608605700,6121481.283488030,2132564.8723956400,55656.00298308130,2723926.736210010,6065825.280504950,590.6225
2016-08-09,4676477.511855530,6269657.978157880,2025573.0436066100,54602.78288726160,2650904.4682488700,6215055.195270610,584.7588
2016-08-10,4428127.690098040,6569718.85292152,1953986.6637215600,50571.58334861190,2474141.026376430,6519147.269572900,592.8925
2016-08-11,4272231.52107211,6747140.853508070,1920812.426935410,49362.76844279690,2351419.094136660,6697778.085065270,586.525
2016-08-12,4138360.805217050,6828214.320558130,1801934.5841691300,50525.95096885930,2336426.221047870,6777688.369589260,586.0263
2016-08-13,3993709.163358600,6878620.583450620,1627385.8850768300,49172.731257053900,2366323.278281720,6829447.852193560,585.0813
2016-08-14,4005824.401182070,6594725.088444710,1588802.1705583900,55500.88315137580,2417022.230623630,6539224.205293330,571.4438
2016-08-15,3935560.358677330,6224050.620073370,1540668.0349245500,51064.63363059720,2394892.323752730,6172985.986442770,567.2025
2016-08-16,4031739.994358100,4055347.99684379,1492876.884472800,48751.066987842700,2538863.1098852500,4006596.929855950,576.2488
2016-08-17,3755852.7665354700,3670473.0426010200,1489951.3209809800,42022.52714311330,2265901.4455544500,3628450.5154579000,571.745
2016-08-18,2850943.138739630,3293657.483958020,842521.356042918,41691.570088061300,2008421.7826966600,3251965.9138699600,572.5025
2016-08-19,2896906.700902220,3230231.371533740,942527.5570113830,42732.76335068340,1954379.1438907900,3187498.608183060,573.6638
2016-08-20,3469552.9617575500,3111388.145060120,1587437.6654327700,44058.36733120240,1882115.296324730,3067329.7777289100,580.7025
2016-08-21,3146021.157172530,2776564.134065140,1611642.6210191200,46033.27301829870,1534378.5361533600,2730530.8610468400,580.69
2016-08-22,3084476.01476901,2628534.1360716900,1622935.2284974400,47834.37079876910,1461540.7862715200,2580699.7652729200,584.7325
2016-08-23,3098630.380466750,2509446.1267151000,1662715.9257400700,46676.22859408190,1435914.4547266300,2462769.898121020,581.2813
2016-08-24,2989142.2978936500,2373269.2693467500,1669680.663601190,46152.91358511730,1319461.6342924000,2327116.355761630,577.995
2016-08-25,3705589.3481540700,2236604.0075772000,2415921.854204040,46808.375369150800,1289667.4939499900,2189795.632208040,575.7338
2016-08-26,3782793.4946724600,2208789.9786861300,2519886.181542820,48385.16340531440,1262907.313129590,2160404.8152808200,578.1563
2016-08-27,3703120.1937284100,2279001.0268935900,2494799.9888141500,51276.843255104400,1208320.2049142200,2227724.1836384800,568.6663
2016-08-28,3637312.114829460,2075339.850884770,2510327.074452490,50338.437898103100,1126985.040376920,2025001.412986670,573.555
2016-08-29,3669638.2507486200,2036462.7069073200,2538746.253999830,74285.97103744310,1130891.9967487400,1962176.735869870,572.3613
2016-08-30,3539953.566252300,1927295.8742239000,2559721.154468310,73369.59317188540,980232.4117839490,1853926.281052010,575.9988
2016-08-31,3861587.5393657600,1855848.576058030,2660543.6579480900,79720.3334274881,1201043.8814176300,1776128.2426305400,572.3338
2016-09-01,3814059.0962972300,1850891.0782601600,2646582.5212147900,80767.4643292394,1167476.575082390,1770123.6139309100,571.6938
2016-09-02,3676074.720978110,1738608.3393369700,2545031.2807625200,79486.1933951664,1131043.4402155400,1659122.1459418000,574.1475
2016-09-03,3263848.225737970,1709212.3735798000,1897130.1113272800,77088.31187622180,1366718.1144106500,1632124.0617035700,598.3838
2016-09-04,3483401.389972120,1692608.7023422600,1895030.319161160,81923.93891511750,1588371.0708109100,1610684.763427140,608.9175
2016-09-05,3563771.422053610,1675242.9048280300,1911962.03030985,83728.69544546270,1651809.3917437100,1591514.2093825600,606.0275
2016-09-06,3834280.8606919000,1527448.7469944200,1939138.896807420,84169.36127267710,1895141.9638844400,1443279.3857217400,611.07
2016-09-07,4052673.8369186100,1349101.0866709300,1908837.4901764200,84470.9639299037,2143836.3467421500,1264630.122741030,614.7875
2016-09-08,3750651.051916680,1317209.7298571100,1240266.2774883100,87611.97504381010,2510384.774428320,1229597.7548133000,624.9488
2016-09-09,3883201.5698683300,1284708.2002853000,1197378.795135940,87229.0837955142,2685822.7747323400,1197479.1164897800,621.7963
2016-09-10,4019870.795057760,1151505.2092593200,1243805.144554720,84549.83198816900,2776065.6505029900,1066955.37727115,622.2125
2016-09-11,4131253.0998629700,1254807.027553190,1343418.8179416800,82180.16298331910,2787834.2819212400,1172626.8645698700,605.8088
