Dates,Values,Prices
2010-03-30,2900.0,0.0
2010-03-31,2700.0,0.0
2010-04-01,2400.0,0.0
2010-04-02,2550.0,0.0
2010-04-03,2650.0,0.0
2010-04-04,3900.0,0.0
2010-04-05,4630.0,0.0
2010-04-06,4413.37,0.0
2010-04-07,7303.1,0.0
2010-04-08,2100.0,0.0
2010-04-09,1852.11,0.0
2010-04-10,1900.27,0.0
2010-04-11,5820.0,0.0
2010-04-12,2749.94,0.0
2010-04-13,2200.0,0.0
2010-04-14,2750.0,0.0
2010-04-15,2860.2,0.0
2010-04-16,2904.35,0.0
2010-04-17,2500.0,0.0
2010-04-18,3450.0,0.0
2010-04-19,2500.0,0.0
2010-04-20,2905.0,0.0
2010-04-21,2199.0,0.0
2010-04-22,2100.0,0.0
2010-04-23,1850.0,0.0
2010-04-24,9846.060000000001,0.0
2010-04-25,2110.0,0.0
2010-04-26,1700.0,0.0
2010-04-27,2962.02,0.0
2010-04-28,2400.0,0.0
2010-04-29,2100.0,0.0
2010-04-30,8000.0,0.0
2010-05-01,3250.0,0.0
2010-05-02,1997.0,0.0
2010-05-03,2200.0,0.0
2010-05-04,1250.0,0.0
2010-05-05,1050.0,0.0
2010-05-06,4600.0,0.0
2010-05-07,850.0,0.0
2010-05-08,750.0,0.0
2010-05-09,750.0,0.0
2010-05-10,1450.0,0.0
2010-05-11,800.0,0.0
2010-05-12,7000.0,0.0
2010-05-13,950.0,0.0
2010-05-14,900.0,0.0
2010-05-15,500.0,0.0
2010-05-16,950.0,0.0
2010-05-17,800.0,0.0
2010-05-18,1450.0,0.0
2010-05-19,730.0,0.0
2010-05-20,1450.0,0.0
2010-05-21,1210.0,0.0
2010-05-22,1250.99,0.0
2010-05-23,850.0,0.0
2010-05-24,1605.0,0.0
2010-05-25,1250.0,0.0
2010-05-26,1900.0,0.0
2010-05-27,1600.0,0.0
2010-05-28,1300.0,0.0
2010-05-29,1050.0,0.0
2010-05-30,800.0,0.0
2010-05-31,500.0,0.0
2010-06-01,526.7,0.0
2010-06-02,450.0,0.0
2010-06-03,916.71,0.0
2010-06-04,750.0,0.0
2010-06-05,650.0,0.0
2010-06-06,700.0,0.0
2010-06-07,800.0,0.0
2010-06-08,1000.0,0.0
2010-06-09,10052.08,0.0
2010-06-10,810.03,0.0
2010-06-11,555.0,0.0
2010-06-12,600.0,0.0
2010-06-13,786.63,0.0
2010-06-14,1265.0,0.0
2010-06-15,2765.01,0.0
2010-06-16,780.09,0.0
2010-06-17,1103.74,0.0
2010-06-18,700.0,0.0
2010-06-19,21675.0,0.0
2010-06-20,1560.0,0.0
2010-06-21,850.0,0.0
2010-06-22,1000.0,0.0
2010-06-23,2580.0,0.0
2010-06-24,1706.0,0.0
2010-06-25,1870.0,0.0
2010-06-26,1210.0,0.0
2010-06-27,1280.0,0.0
2010-06-28,1730.0,0.0
2010-06-29,1075.0,0.0
2010-06-30,971.0,0.0
2010-07-01,1106.0,0.0
2010-07-02,810.0,0.0
2010-07-03,1155.0,0.0
2010-07-04,1714.5,0.0
2010-07-05,1354.0,0.0
2010-07-06,1210.0,0.0
2010-07-07,1375.0,0.0
2010-07-08,1330.0,0.0
2010-07-09,2036.0,0.0
2010-07-10,2080.0,0.0
2010-07-11,1365.0,0.0
2010-07-12,12649.96,0.0
2010-07-13,9895.48,0.0
2010-07-14,9036.580000000009,0.0
2010-07-15,7239.530000000017,0.0
2010-07-16,6447.11000000001,0.0
2010-07-17,2398.860000000001,0.0
2010-07-18,1357.6999999999987,0.0
2010-07-19,1745.2199999999987,0.0808
2010-07-20,2216.3199999999997,0.0747
2010-07-21,2062.4299999999994,0.0792
2010-07-22,2967.2500000000005,0.0505
2010-07-23,1394.699999999999,0.0626
2010-07-24,26036.13999999999,0.0545
2010-07-25,2561.329999999999,0.0505
2010-07-26,5232.180000000003,0.056
2010-07-27,1810.5799999999992,0.06
2010-07-28,1993.0699999999993,0.0589
2010-07-29,1410.3099999999995,0.0699
2010-07-30,2750.93,0.0627
2010-07-31,2670.62,0.0679
2010-08-01,3851.5900000000006,0.0611
2010-08-02,3605.4900000000007,0.06
2010-08-03,3883.6900000000005,0.06
2010-08-04,2911.72,0.057
2010-08-05,2925.7000000000007,0.061
2010-08-06,1672.8999999999996,0.0623
2010-08-07,2306.93,0.059
2010-08-08,1420.5299999999993,0.0609
2010-08-09,10678.259999999995,0.071
2010-08-10,2309.84,0.07
2010-08-11,3276.0300000000007,0.067
2010-08-12,2726.41,0.07
2010-08-13,2380.77,0.0645
2010-08-14,2661.8599999999997,0.067
2010-08-15,2625.9,0.0653
2010-08-16,1676.6299999999999,0.0655
2010-08-17,1218.34,0.07
2010-08-18,1676.3499999999997,0.068
2010-08-19,1501.2599999999995,0.0667
2010-08-20,2621.16,0.0655
2010-08-21,1752.6199999999994,0.0664
2010-08-22,1550.7899999999997,0.066
2010-08-23,1902.9499999999994,0.0649
2010-08-24,3018.42,0.065
2010-08-25,1500.35,0.0648
2010-08-26,2550.45,0.064
2010-08-27,2360.85,0.065
2010-08-28,2219.4500003000003,0.0641
2010-08-29,1649.7599999999995,0.064
2010-08-30,901.0500000999998,0.065
2010-08-31,2050.3400001,0.06
2010-09-01,2027.1600001999998,0.0629
2010-09-02,2077.8799999999997,0.0634
2010-09-03,1513.0299999999995,0.0609
2010-09-04,1950.6299999999997,0.0624
2010-09-05,1562.5799999999997,0.0616
2010-09-06,1453.0599999999997,0.0616
2010-09-07,1435.2199999999998,0.061
2010-09-08,2652.8200001000005,0.062
2010-09-09,1499.37,0.0611
2010-09-10,2113.0299999999993,0.0618
2010-09-11,1777.2199999999993,0.0637
2010-09-12,1351.5299999999993,0.0615
2010-09-13,1352.5399999999997,0.0622
2010-09-14,1957.4399999999996,0.062
2010-09-15,1451.1103964799995,0.0604
2010-09-16,1801.2499999999995,0.0619
2010-09-17,1256.1399999999994,0.059
2010-09-18,1916.2499999999993,0.061
2010-09-19,1761.1999999999996,0.0627
2010-09-20,1703.3999999999994,0.0621
2010-09-21,1012.5399999999995,0.0627
2010-09-22,1388.0899999999997,0.0622
2010-09-23,1514.1,0.0623
2010-09-24,870.56,0.0622
2010-09-25,921.4699999999999,0.062
2010-09-26,1311.8,0.062
2010-09-27,1056.49,0.0622
2010-09-28,1771.1200719799997,0.0619
2010-09-29,3627.76,0.0619
2010-09-30,1620.54,0.0619
2010-10-01,1558.12,0.062
2010-10-02,670.02,0.0614
2010-10-03,750.5500000000001,0.0611
2010-10-04,3435.72,0.0613
2010-10-05,514.53,0.0614
2010-10-06,2779.24,0.0628
2010-10-07,1464.06,0.067
2010-10-08,1867.13,0.0869
