,Volumes(1h),Volumes(>200D),Volumes(<200D),DollarVolumes(1h),DollarVolumes(>200D),DollarVolumes(<200D),prices
2019-03-11,398642.9253096705,7001.226178340002,391641.6991313302,1547777001.451205,27183065.778415564,1520593935.6727884,3882.615
2019-03-12,436021.2642324998,16390.896504840006,419630.3677276601,1696709907.7009668,63782661.02415069,1632927246.676817,3891.3467
2019-03-13,441799.0077581604,5316.11914232,436482.88861584023,1715417938.3816993,20641436.443202637,1694776501.938496,3882.8017
2019-03-14,489596.2778787104,4768.891997839997,484827.38588087034,1902565407.5602164,18531858.507569864,1884033549.0526469,3885.9883
2019-03-15,454805.29310824047,7809.628920789999,446995.66418745014,1789847572.577566,30734130.799310785,1759113441.778255,3935.415
2019-03-16,353201.75410944,3514.662878490001,349687.09123094985,1420767583.532404,14137866.040314272,1406629717.4920895,4022.5383
2019-03-17,279592.6172006599,2322.753101799999,277269.8640988599,1118275882.6202402,9290226.619825657,1108985656.0004146,3999.6617
2019-03-18,375126.53421701986,6073.75069641,369052.78352061013,1502311133.212773,24324227.851865917,1477986905.3609061,4004.8117
2019-03-19,424313.1811085201,4495.934431060001,419817.24667746027,1711559843.5686514,18135332.990166802,1693424510.5784848,4033.7183
2019-03-20,449175.79629974003,7042.353870510001,442133.44242923043,1825489379.7036846,28620736.701833222,1796868643.0018501,4064.0867
2019-03-21,462729.4101344902,16352.401417649995,446377.00871683995,1850604511.5461228,65398540.0005607,1785205971.5455623,3999.3233
2019-03-22,454096.0179430502,3814.4234015200027,450281.59454153024,1817996112.635898,15271234.809155405,1802724877.8267436,4003.55
2019-03-23,274541.3584918901,3539.690458599999,271001.66803329,1100764873.9121695,14192276.685569152,1086572597.2265997,4009.4683
2019-03-24,280746.22573476,2528.9289583999976,278217.2967763601,1121308370.70282,10100613.828539122,1111207756.874281,3994.0283
2019-03-25,443914.72365396057,5272.3725162900055,438642.3511376703,1744277808.1457145,20716777.088950183,1723561031.0567622,3929.3083
2019-03-26,469721.7438835705,14317.289178050001,455404.4547055202,1853204939.1874478,56486358.92639013,1796718580.2610567,3945.325
2019-03-27,459931.0079308402,5121.422041849999,454809.58588899014,1863595968.8072972,20751506.872064747,1842844461.9352322,4051.9033
2019-03-28,461702.63046284986,3160.677136620001,458541.9533262299,1864817709.3339221,12765980.327959316,1852051729.005963,4039.0017
2019-03-29,482264.80738698,24164.221863630017,458100.5855233498,1986457567.0729449,99532872.0615521,1886924695.011393,4119.0183
2019-03-30,324627.66220304015,2667.519211459998,321960.1429915801,1336767466.935763,10984439.450127902,1325783027.4856355,4117.8483
2019-03-31,340609.9746643402,9160.145337740001,331449.82932660024,1402464976.780168,37716990.02959783,1364747986.7505705,4117.51
2019-04-01,461293.93306491064,5840.8318464,455453.1012185101,1917317490.4516637,24276775.07805851,1893040715.3736045,4156.39
2019-04-02,716886.4613783502,13259.991826610005,703626.4695517402,3518972185.39631,65089166.73737614,3453883018.6589336,4908.6883
2019-04-03,592713.5145989401,18784.262512460013,573929.2520864805,2949936169.771901,93489306.45775971,2856446863.314143,4977.0017
2019-04-04,515026.81370038056,7234.85124052,507791.96245986066,2532822916.1679325,35579889.29818217,2497243026.8697495,4917.8467
2019-04-05,487567.8080259899,31739.00988621,455828.79813978035,2464031182.777108,160400069.04213727,2303631113.7349706,5053.72
2019-04-06,293064.1401120204,5587.99219682,287476.1479152005,1482418062.4942374,28265964.44886248,1454152098.0453742,5058.34
2019-04-07,317561.85174789,5854.856579380003,311706.99516851007,1653868475.1400464,30492210.16254263,1623376264.9775028,5208.02
2019-04-08,581183.3831229503,13305.315642429998,567878.06748052,3078488685.5772014,70477348.20489326,3008011337.3723073,5296.9317
2019-04-09,485193.96474754025,6768.022740759998,478425.9420067801,2521545756.883494,35173312.66338859,2486372444.2201066,5196.985
2019-04-10,516191.02371137025,13189.014197299994,503002.00951407035,2745983969.792494,70161664.7704478,2675822305.022048,5319.705
2019-04-11,585625.5066013203,10275.086108799997,575350.42049252,2955572872.3734736,51856972.454488896,2903715899.9189816,5046.865
2019-04-12,487962.14595042,12415.987680490003,475546.1582699299,2483116540.669551,63181836.20191444,2419934704.467637,5088.7483
2019-04-13,359739.39626936044,5479.262066760002,354260.13420260017,1826655315.6678822,27822149.26688308,1798833166.400999,5077.7183
